SA2_MAIN16,SA2_5DIG16,SA2_NAME16,SA3_CODE16,SA3_NAME16,SA4_CODE16,SA4_NAME16,GCC_CODE16,GCC_NAME16,STE_CODE16,STE_NAME16,AREASQKM16,GCC_CODE16_2,GCC_NAME16_2,STE_CODE16_2,STE_NAME16_2,AREASQKM16_2,xcoord,ycoord
"102011028","11028",Avoca Beach - Copacabana,"10201",Gosford,"102",Central Coast,1GSYD,Greater Sydney,"1",New South Wales,6.437600000000000,1GSYD,Greater Sydney,"1",New South Wales,12368.193300000000818,151.430177019623,-33.4754203175293
"102011029","11029",Box Head - MacMasters Beach,"10201",Gosford,"102",Central Coast,1GSYD,Greater Sydney,"1",New South Wales,32.085999999999999,1GSYD,Greater Sydney,"1",New South Wales,12368.193300000000818,151.384750880558,-33.5085347994093
"102011030","11030",Calga - Kulnura,"10201",Gosford,"102",Central Coast,1GSYD,Greater Sydney,"1",New South Wales,767.951199999999972,1GSYD,Greater Sydney,"1",New South Wales,12368.193300000000818,151.175312192956,-33.3397352645893
"102011031","11031",Erina - Green Point,"10201",Gosford,"102",Central Coast,1GSYD,Greater Sydney,"1",New South Wales,33.793399999999998,1GSYD,Greater Sydney,"1",New South Wales,12368.193300000000818,151.402494453011,-33.423248768043
"102011032","11032",Gosford - Springfield,"10201",Gosford,"102",Central Coast,1GSYD,Greater Sydney,"1",New South Wales,16.912400000000002,1GSYD,Greater Sydney,"1",New South Wales,12368.193300000000818,151.347889304988,-33.4252584057345
"102011033","11033",Kariong,"10201",Gosford,"102",Central Coast,1GSYD,Greater Sydney,"1",New South Wales,8.306300000000000,1GSYD,Greater Sydney,"1",New South Wales,12368.193300000000818,151.294527629818,-33.4397208652748
"102011034","11034",Kincumber - Picketts Valley,"10201",Gosford,"102",Central Coast,1GSYD,Greater Sydney,"1",New South Wales,12.088699999999999,1GSYD,Greater Sydney,"1",New South Wales,12368.193300000000818,151.403118501206,-33.4698064265921
"102011035","11035",Narara,"10201",Gosford,"102",Central Coast,1GSYD,Greater Sydney,"1",New South Wales,7.702100000000000,1GSYD,Greater Sydney,"1",New South Wales,12368.193300000000818,151.33421458327,-33.3960963506298
"102011036","11036",Niagara Park - Lisarow,"10201",Gosford,"102",Central Coast,1GSYD,Greater Sydney,"1",New South Wales,16.731600000000000,1GSYD,Greater Sydney,"1",New South Wales,12368.193300000000818,151.37282242985,-33.3842808441086
"102011037","11037",Point Clare - Koolewong,"10201",Gosford,"102",Central Coast,1GSYD,Greater Sydney,"1",New South Wales,6.787400000000000,1GSYD,Greater Sydney,"1",New South Wales,12368.193300000000818,151.316329339212,-33.448222490686
"102011038","11038",Saratoga - Davistown,"10201",Gosford,"102",Central Coast,1GSYD,Greater Sydney,"1",New South Wales,4.768300000000000,1GSYD,Greater Sydney,"1",New South Wales,12368.193300000000818,151.357560105882,-33.4774984981281
"102011039","11039",Terrigal - North Avoca,"10201",Gosford,"102",Central Coast,1GSYD,Greater Sydney,"1",New South Wales,10.107300000000000,1GSYD,Greater Sydney,"1",New South Wales,12368.193300000000818,151.428071586021,-33.4450377236426
"102011040","11040",Umina - Booker Bay - Patonga,"10201",Gosford,"102",Central Coast,1GSYD,Greater Sydney,"1",New South Wales,25.228400000000001,1GSYD,Greater Sydney,"1",New South Wales,12368.193300000000818,151.29818406692,-33.5291795837951
"102011041","11041",Wamberal - Forresters Beach,"10201",Gosford,"102",Central Coast,1GSYD,Greater Sydney,"1",New South Wales,13.722099999999999,1GSYD,Greater Sydney,"1",New South Wales,12368.193300000000818,151.44994696848,-33.4097100096433
"102011042","11042",Woy Woy - Blackwall,"10201",Gosford,"102",Central Coast,1GSYD,Greater Sydney,"1",New South Wales,17.422499999999999,1GSYD,Greater Sydney,"1",New South Wales,12368.193300000000818,151.305681667584,-33.4851797179743
"102011043","11043",Wyoming,"10201",Gosford,"102",Central Coast,1GSYD,Greater Sydney,"1",New South Wales,8.381000000000000,1GSYD,Greater Sydney,"1",New South Wales,12368.193300000000818,151.364057499855,-33.4047437992491
